percentageBetter
1,0.167785234899,3.25176906586,1
1,0.134228187919,4.60405492783,1
2,0.10067114094,5.08531999588,2
3,0.194630872483,7.8423769474,3
0,0.0,2.57124519348,0
1,0.107382550336,3.28763890266,1
1,0.503355704698,4.21359586716,1
0,0.0,2.10745286942,0
1,0.187919463087,3.46967983246,1
3,0.161073825503,7.46160101891,3

firstBetter
6,0.234899328859,21.6934001446,6
1,0.161073825503,12.4901790619,1
3,0.234899328859,13.2214701176,3
1,0.140939597315,13.7654750347,1
1,0.167785234899,9.96111512184,1
7,0.201342281879,15.3931081295,7
7,0.134228187919,16.4588971138,7
6,0.248322147651,21.2941138744,6
10,0.221476510067,20.0994319916,10
6,0.167785234899,17.346750021,6
