percentageBetter
537	536	0.687150837989	0.754189944134	1	18.3619821072
537	536	0.612662942272	0.746741154562	1	17.4255621433
537	534	0.627560521415	0.77094972067	3	75.3604881763
537	537	0.744878957169	0.744878957169	0	18.5947542191
537	534	0.420856610801	0.77094972067	3	80.8655769825
537	535	0.366852886406	0.733705772812	2	26.9894258976
537	537	0.66852886406	0.66852886406	0	19.5440001488
537	535	0.648044692737	0.759776536313	2	58.2751541138
537	536	0.674115456238	0.761638733706	1	38.4499921799
537	536	0.670391061453	0.735567970205	1	21.4745299816

firstBetter
537	534	0.655493482309	0.77094972067	3	95.8857598305
537	528	0.355679702048	0.780260707635	9	208.465778112
537	537	0.707635009311	0.707635009311	0	98.5580661297
537	530	0.640595903166	0.791433891993	7	175.055413008
537	528	0.659217877095	0.769087523277	9	237.483062029
537	532	0.556797020484	0.767225325885	5	186.172106981
537	537	0.700186219739	0.700186219739	0	85.5710608959
537	533	0.566108007449	0.769087523277	4	106.224496841
537	536	0.672253258845	0.7895716946	1	93.7249851227
537	525	0.651769087523	0.748603351955	12	217.30467701
